game_id,season,week,home_team,away_team,full_spread,full_total,full_home_points,full_away_points,1h_spread,1h_total,1h_home_points,1h_away_points,spread_half_naive,total_half_naive,spread_dev,total_dev
401761648,2025,11,Louisiana,Texas State,3.5,62.5,42,39,2.5,31.5,35,17,1.75,31.25,0.75,0.25
401754585,2025,11,Louisville,California,-18.5,48.5,26,29,-10.5,25.5,13,17,-9.25,24.25,-1.25,1.25
401754586,2025,11,Clemson,Florida State,-1.5,56.5,24,10,-0.5,27.5,18,7,-0.75,28.25,0.25,-0.75
401754589,2025,11,Virginia,Wake Forest,-7.0,48.5,9,16,-3.5,23.5,6,10,-3.5,24.25,0.0,-0.75
401752760,2025,11,Kentucky,Florida,4.5,44.5,38,7,3.5,21.5,24,7,2.25,22.25,1.25,-0.75
401760409,2025,11,Utah State,Nevada,-10.0,52.5,51,14,-6.5,26.5,41,0,-5.0,26.25,-1.5,0.25
401752759,2025,11,Alabama,LSU,-10.5,49.5,20,9,-6.5,24.5,17,3,-5.25,24.75,-1.25,-0.25
401757166,2025,11,Notre Dame,Navy,-30.5,54.5,49,10,-17.5,30.5,21,10,-15.25,27.25,-2.25,3.25
401752895,2025,11,UCLA,Nebraska,-1.5,45.5,21,28,-0.5,22.5,7,21,-0.75,22.75,0.25,-0.25
401760407,2025,11,Colorado State,UNLV,5.5,60.5,10,42,3.5,30.5,10,21,2.75,30.25,0.75,0.25
401752944,2025,11,Oregon State,Sam Houston,-21.0,52.5,17,21,-10.5,27.5,17,7,-10.5,26.25,0.0,1.25
401760408,2025,11,Hawai'i,San Diego State,6.5,48.5,38,6,3.5,23.5,24,6,3.25,24.25,0.25,-0.75
401762856,2025,12,Akron,Kent State,-7.5,49.5,35,42,-4.5,24.5,17,14,-3.75,24.75,-0.75,-0.25
401762857,2025,12,Western Michigan,Ohio,-1.5,46.5,17,13,-0.5,22.5,3,7,-0.75,23.25,0.25,-0.75
401762858,2025,12,Central Michigan,Buffalo,-2.5,44.5,38,19,-0.5,21.5,14,10,-1.25,22.25,0.75,-0.75
401762860,2025,12,Miami (OH),Toledo,6.5,44.5,3,24,3.5,21.5,0,14,3.25,22.25,0.25,-0.75
401761649,2025,12,Old Dominion,Troy,-9.5,53.5,33,0,-6.5,26.5,20,0,-4.75,26.75,-1.75,-0.25
401754591,2025,12,Louisville,Clemson,-1.5,50.5,19,20,-0.5,24.5,9,10,-0.75,25.25,0.25,-0.75
401752904,2025,12,Oregon,Minnesota,-26.5,45.5,42,13,-15.5,24.5,28,6,-13.25,22.75,-2.25,1.75
401757174,2025,12,UConn,Air Force,-7.5,64.5,26,16,-4.5,31.5,9,7,-3.75,32.25,-0.75,-0.75
401762507,2025,12,Charlotte,UTSA,16.5,57.5,7,28,10.5,30.5,0,7,8.25,28.75,2.25,1.75
401756952,2025,12,Oklahoma State,Kansas State,19.5,50.5,6,14,11.5,26.5,6,7,9.75,25.25,1.75,1.25
401752772,2025,12,Texas A&M,South Carolina,-16.5,49.5,31,30,-9.5,25.5,3,30,-8.25,24.75,-1.25,0.75
401762510,2025,12,Navy,South Florida,8.5,62.5,41,38,5.5,31.5,24,9,4.25,31.25,1.25,0.25
401752905,2025,12,Northwestern,Michigan,10.0,41.5,22,24,5.5,20.5,6,7,5.0,20.75,0.5,-0.25
401752901,2025,12,Indiana,Wisconsin,-28.5,43.5,31,7,-16.5,24.5,10,7,-14.25,21.75,-2.25,2.75
401754597,2025,12,Pittsburgh,Notre Dame,12.5,55.5,15,37,7.5,28.5,3,21,6.25,27.75,1.25,0.75
