game_id,season,week,home_team,away_team,home_conference,away_conference,home_points,away_points,provider,spread,total
401767441,2025,9,South Dakota,Illinois State,MVFC,MVFC,13,21,ESPN Bet,-3.5,54.5
401767167,2025,9,Charleston Southern,Eastern Illinois,Big South-OVC,Big South-OVC,17,16,ESPN Bet,-3.0,46.5
401767498,2025,9,Youngstown State,Murray State,MVFC,MVFC,51,17,ESPN Bet,-24.5,
401767302,2025,9,West Georgia,Central Arkansas,UAC,UAC,18,17,ESPN Bet,-5.5,53.5
401767228,2025,9,Tennessee State,Western Illinois,Big South-OVC,Big South-OVC,16,17,ESPN Bet,-3.0,54.5
401757172,2025,9,Rice,UConn,American Athletic,FBS Independents,37,34,DraftKings,10.5,48.5
401767384,2025,9,Bethune-Cookman,Arkansas-Pine Bluff,SWAC,SWAC,31,14,ESPN Bet,-13.5,56.5
401767374,2025,9,Alcorn State,Mississippi Valley State,SWAC,SWAC,32,10,ESPN Bet,-10.5,50.5
401767486,2025,9,Northwestern State,Lamar,Southland,Southland,14,41,ESPN Bet,24.5,47.5
401760400,2025,9,New Mexico,Utah State,Mountain West,Mountain West,33,14,DraftKings,-3.0,61.5
401767124,2025,9,Northern Colorado,UC Davis,Big Sky,Big Sky,16,27,ESPN Bet,8.5,57.5
401767281,2025,9,Eastern Kentucky,Tarleton State,UAC,UAC,7,31,ESPN Bet,24.0,58.5
401767204,2025,9,Lindenwood,Gardner-Webb,Big South-OVC,Big South-OVC,20,48,ESPN Bet,1.5,57.5
401767065,2025,9,Weber State,Eastern Washington,Big Sky,Big Sky,20,23,ESPN Bet,1.5,57.5
401767472,2025,9,Houston Christian,SE Louisiana,Southland,Southland,14,38,ESPN Bet,21.5,52.5
401767764,2025,9,St. Francis (PA),Robert Morris,NEC,NEC,14,24,ESPN Bet,2.5,39.5
401767577,2025,9,Mercer,VMI,Southern,Southern,62,0,ESPN Bet,-27.5,51.5
401767539,2025,9,Southern Illinois,Northern Iowa,MVFC,MVFC,31,17,ESPN Bet,-15.0,50.5
401762847,2025,9,Central Michigan,Massachusetts,Mid-American,Mid-American,38,13,DraftKings,-16.5,46.5
401767561,2025,9,East Tennessee State,Wofford,Southern,Southern,14,10,ESPN Bet,-9.0,50.5
401767334,2025,9,Villanova,UAlbany,CAA,CAA,29,16,ESPN Bet,-31.5,51.5
401762493,2025,9,Navy,Florida Atlantic,American Athletic,American Athletic,42,32,DraftKings,-14.5,63.5
401767314,2025,9,Alabama A&M,Alabama State,SWAC,SWAC,13,56,ESPN Bet,14.0,61.5
401760399,2025,9,Fresno State,San Diego State,Mountain West,Mountain West,0,23,DraftKings,3.0,46.5
401752882,2025,9,Iowa,Minnesota,Big Ten,Big Ten,41,3,ESPN Bet,-7.5,39.5
401752952,2025,9,Washington State,Toledo,Pac-12,Mid-American,28,7,DraftKings,1.5,44.5
401767533,2025,9,Samford,Chattanooga,Southern,Southern,13,49,ESPN Bet,10.0,54.5
401754574,2025,9,Pittsburgh,NC State,ACC,ACC,53,34,ESPN Bet,-5.5,52.5
401761637,2025,9,Southern Miss,UL Monroe,Sun Belt,Sun Belt,49,21,DraftKings,-14.0,48.5
401767354,2025,9,Howard,Morgan State,MEAC,MEAC,33,27,ESPN Bet,1.0,44.5
401752752,2025,9,Vanderbilt,Missouri,SEC,SEC,17,10,DraftKings,-3.0,52.5
401756931,2025,9,Iowa State,BYU,Big 12,Big 12,27,41,DraftKings,-2.5,48.5
401752751,2025,9,South Carolina,Alabama,SEC,SEC,22,29,DraftKings,11.5,47.5
401767325,2025,9,Stony Brook,Towson,CAA,CAA,27,19,ESPN Bet,-3.0,52.5
401762874,2025,9,Miami (OH),Western Michigan,Mid-American,Mid-American,26,17,DraftKings,-2.5,40.5
401762495,2025,9,Tulsa,Temple,American Athletic,American Athletic,37,38,DraftKings,4.5,52.5
401762845,2025,9,Northern Illinois,Ball State,Mid-American,Mid-American,21,7,DraftKings,-6.5,41.5
401752880,2025,9,Washington,Illinois,Big Ten,Big Ten,42,25,DraftKings,-3.5,54.5
401756930,2025,9,Cincinnati,Baylor,Big 12,Big 12,41,20,DraftKings,-3.5,68.5
401767093,2025,9,Idaho,Portland State,Big Sky,Big Sky,45,6,ESPN Bet,-21.5,55.5
401756933,2025,9,Texas Tech,Oklahoma State,Big 12,Big 12,42,0,DraftKings,-37.5,56.5
401767450,2025,9,North Dakota,Indiana State,MVFC,MVFC,46,17,ESPN Bet,-30.0,55.5
401767252,2025,9,Austin Peay,North Alabama,UAC,UAC,56,28,ESPN Bet,-19.5,57.5
401767493,2025,9,Nicholls,McNeese,Southland,Southland,31,7,ESPN Bet,-5.5,43.5
401752749,2025,9,Mississippi State,Texas,SEC,SEC,38,45,DraftKings,8.5,48.5
401767456,2025,9,Southern,Florida A&M,SWAC,SWAC,35,43,ESPN Bet,3.0,48.5
401767085,2025,9,Idaho State,Northern Arizona,Big Sky,Big Sky,18,31,ESPN Bet,3.0,62.5
401756935,2025,9,West Virginia,TCU,Big 12,Big 12,17,23,DraftKings,16.5,55.5
401767419,2025,9,Grambling,Jackson State,SWAC,SWAC,26,24,ESPN Bet,21.0,56.5
401761638,2025,9,Troy,Louisiana,Sun Belt,Sun Belt,35,23,DraftKings,-7.0,47.5
401754572,2025,9,Miami,Stanford,ACC,ACC,42,7,DraftKings,-28.5,45.5
401761636,2025,9,Arkansas State,Georgia Southern,Sun Belt,Sun Belt,34,24,DraftKings,1.5,59.5
401767463,2025,9,East Texas A&M,Stephen F. Austin,Southland,Southland,21,31,ESPN Bet,14.0,59.5
401752886,2025,9,Oregon,Wisconsin,Big Ten,Big Ten,21,7,DraftKings,-31.5,44.5
401752881,2025,9,Michigan State,Michigan,Big Ten,Big Ten,20,31,DraftKings,13.5,47.5
401754570,2025,9,Louisville,Boston College,ACC,ACC,38,24,DraftKings,-25.5,54.5
401752748,2025,9,LSU,Texas A&M,SEC,SEC,25,49,DraftKings,1.5,50.5
401760398,2025,9,Wyoming,Colorado State,Mountain West,Mountain West,28,0,DraftKings,-5.5,46.5
401752747,2025,9,Kentucky,Tennessee,SEC,SEC,34,56,DraftKings,7.5,55.5
401767075,2025,9,Cal Poly,Montana State,Big Sky,Big Sky,17,34,ESPN Bet,21.5,55.5
401767295,2025,9,Utah Tech,Southern Utah,UAC,UAC,7,28,ESPN Bet,9.5,59.5
401767512,2025,9,South Dakota State,North Dakota State,MVFC,MVFC,7,38,ESPN Bet,9.0,45.5
401756929,2025,9,Arizona State,Houston,Big 12,Big 12,16,24,DraftKings,-7.0,46.5
401767478,2025,9,UT Rio Grande Valley,Incarnate Word,Southland,Southland,56,28,ESPN Bet,4.5,54.5
401756934,2025,9,Utah,Colorado,Big 12,Big 12,53,7,ESPN Bet,-14.5,50.5
401761639,2025,10,Texas State,James Madison,Sun Belt,Sun Belt,20,52,ESPN Bet,7.5,55.5
401757289,2025,10,Kennesaw State,UTEP,Conference USA,Conference USA,33,20,ESPN Bet,-12.5,53.5
401757292,2025,10,Middle Tennessee,Jacksonville State,Conference USA,Conference USA,21,24,Bovada,4.5,54.0
401757291,2025,10,Missouri State,Florida International,Conference USA,Conference USA,28,21,Bovada,-3.0,50.0
401767346,2025,10,Delaware State,Norfolk State,MEAC,MEAC,27,20,ESPN Bet,-17.5,57.5
401762443,2025,10,UTSA,Tulane,American Athletic,American Athletic,48,26,ESPN Bet,5.5,54.5
401761640,2025,10,Coastal Carolina,Marshall,Sun Belt,Sun Belt,44,27,ESPN Bet,7.5,55.5
401762497,2025,10,Rice,Memphis,American Athletic,American Athletic,14,38,ESPN Bet,13.5,48.5
401767555,2025,10,Pennsylvania,Brown,Ivy,Ivy,28,21,ESPN Bet,-11.5,50.5
401754575,2025,10,Syracuse,North Carolina,ACC,ACC,10,27,DraftKings,-1.5,45.5
401757290,2025,10,Louisiana Tech,Sam Houston,Conference USA,Conference USA,55,14,Bovada,-16.5,48.0
401767094,2025,10,Northern Arizona,Idaho,Big Sky,Big Sky,32,35,ESPN Bet,-5.5,52.5
401762499,2025,10,North Texas,Navy,American Athletic,American Athletic,31,17,DraftKings,-6.5,68.5
401756938,2025,10,Houston,West Virginia,Big 12,Big 12,35,45,DraftKings,-13.5,48.5
401756936,2025,10,Baylor,UCF,Big 12,Big 12,30,3,DraftKings,-3.0,58.5
401767723,2025,10,Lehigh,Georgetown,Patriot,Patriot,41,0,ESPN Bet,-24.0,47.5
401762849,2025,10,Bowling Green,Buffalo,Mid-American,Mid-American,3,28,DraftKings,-2.5,44.5
401752758,2025,10,Texas,Vanderbilt,SEC,SEC,34,31,DraftKings,-3.5,48.5
401752889,2025,10,Ohio State,Penn State,Big Ten,Big Ten,38,14,DraftKings,-17.5,45.5
401760401,2025,10,Air Force,Army,Mountain West,American Athletic,17,20,DraftKings,1.5,48.5
401754577,2025,10,Clemson,Duke,ACC,ACC,45,46,ESPN Bet,-4.5,55.5
401757173,2025,10,UConn,UAB,FBS Independents,American Athletic,38,19,DraftKings,-10.0,61.5
401752891,2025,10,Illinois,Rutgers,Big Ten,Big Ten,35,13,DraftKings,-13.5,63.5
401767661,2025,10,Sacred Heart,New Haven,FCS Independents,NEC,35,20,ESPN Bet,-15.5,49.5
401754581,2025,10,SMU,Miami,ACC,ACC,26,20,DraftKings,8.5,50.5
401767768,2025,10,St. Francis (PA),Wagner,NEC,NEC,20,23,ESPN Bet,6.5,37.5
401767746,2025,10,Central Connecticut,Long Island University,NEC,NEC,10,7,ESPN Bet,-5.5,42.5
401767685,2025,10,Yale,Columbia,Ivy,Ivy,24,10,ESPN Bet,-21.5,46.5
401767275,2025,10,North Carolina A&T,Towson,CAA,CAA,9,62,ESPN Bet,7.5,49.5
401756939,2025,10,Iowa State,Arizona State,Big 12,Big 12,19,24,DraftKings,-7.5,48.5
401767765,2025,10,Stonehill,Robert Morris,NEC,NEC,17,20,ESPN Bet,-6.5,40.5
401767136,2025,10,Bryant,Monmouth,CAA,CAA,7,35,ESPN Bet,14.0,59.5
401767598,2025,10,Butler,Drake,Pioneer,Pioneer,19,24,ESPN Bet,6.5,47.5
401767193,2025,10,Maine,Stony Brook,CAA,CAA,28,21,ESPN Bet,-1.0,46.5
401767205,2025,10,Tennessee Tech,Gardner-Webb,Big South-OVC,Big South-OVC,27,21,ESPN Bet,-19.0,62.5
401767693,2025,10,Cornell,Princeton,Ivy,Ivy,20,17,ESPN Bet,3.5,50.5
401767730,2025,10,Holy Cross,Lafayette,Patriot,Patriot,13,21,ESPN Bet,3.0,49.5
401769068,2025,10,Colgate,Merrimack,Patriot,FCS Independents,23,20,ESPN Bet,-7.0,47.5
401767642,2025,10,Presbyterian,Valparaiso,Pioneer,Pioneer,43,14,ESPN Bet,-31.5,51.5
401767608,2025,10,Morehead State,Davidson,Pioneer,Pioneer,28,24,ESPN Bet,-10.5,58.5
401767582,2025,10,Wofford,Samford,Southern,Southern,26,16,ESPN Bet,-12.5,47.5
401767109,2025,10,Northern Colorado,Montana State,Big Sky,Big Sky,7,55,ESPN Bet,23.5,52.5
401767631,2025,10,St. Thomas (MN),Marist,Pioneer,Pioneer,45,0,ESPN Bet,-14.0,50.5
401767716,2025,10,Richmond,Fordham,Patriot,Patriot,17,14,ESPN Bet,-13.5,48.5
401767506,2025,10,South Dakota,North Dakota,MVFC,MVFC,26,21,ESPN Bet,13.5,51.5
401767570,2025,10,Furman,Mercer,Southern,Southern,28,52,ESPN Bet,15.5,52.5
401767401,2025,10,South Carolina State,Morgan State,MEAC,MEAC,36,30,ESPN Bet,-11.5,53.5
401767168,2025,10,Southeast Missouri State,Charleston Southern,Big South-OVC,Big South-OVC,17,23,ESPN Bet,-10.5,50.5
401762498,2025,10,Temple,East Carolina,American Athletic,American Athletic,14,45,DraftKings,5.5,58.5
401767585,2025,10,The Citadel,VMI,Southern,Southern,35,24,ESPN Bet,-14.0,48.5
401767391,2025,10,Bethune-Cookman,Mississippi Valley State,SWAC,SWAC,42,34,ESPN Bet,-22.0,58.5
401767385,2025,10,Arkansas-Pine Bluff,Southern,SWAC,SWAC,40,21,ESPN Bet,1.0,52.5
401767198,2025,10,Eastern Illinois,UT Martin,Big South-OVC,Big South-OVC,20,27,ESPN Bet,4.5,50.5
401767102,2025,10,Weber State,Montana,Big Sky,Big Sky,17,38,ESPN Bet,19.5,61.5
401767442,2025,10,Illinois State,Northern Iowa,MVFC,MVFC,31,16,ESPN Bet,-12.5,49.5
401767375,2025,10,Texas Southern,Alcorn State,SWAC,SWAC,14,33,ESPN Bet,-6.5,47.5
401767451,2025,10,South Dakota State,Indiana State,MVFC,MVFC,12,24,ESPN Bet,-31.0,53.5
401767702,2025,10,Harvard,Dartmouth,Ivy,Ivy,31,10,ESPN Bet,-11.5,48.5
401767479,2025,10,Incarnate Word,Lamar,Southland,Southland,24,17,ESPN Bet,-2.5,52.5
401767364,2025,10,Prairie View A&M,Alabama State,SWAC,SWAC,28,31,ESPN Bet,10.5,52.5
401767315,2025,10,Grambling,Alabama A&M,SWAC,SWAC,13,10,ESPN Bet,-3.5,56.5
401760404,2025,10,UNLV,New Mexico,Mountain West,Mountain West,35,40,DraftKings,-3.5,61.5
401754580,2025,10,Virginia Tech,Louisville,ACC,ACC,16,28,DraftKings,10.5,52.5
401756941,2025,10,Kansas State,Texas Tech,Big 12,Big 12,20,43,ESPN Bet,7.5,51.5
401757293,2025,10,Liberty,Delaware,Conference USA,Conference USA,59,30,DraftKings,-3.5,52.5
401767355,2025,10,Howard,North Carolina Central,MEAC,MEAC,14,35,ESPN Bet,15.0,51.5
