game_id,half_spread,half_total
401752873,-2.5,24.5
401756925,0.5,23.5
401752745,-0.5,23.5
401752744,2.5,20.5
401756928,-3.5,21.5
401762842,-14.5,25.5
401762840,9.5,23.5
401761633,3.5,23.5
401752874,-2.5,23.5
401762838,0.5,20.5
401754565,-2.5,24.5
401752877,14.5,22.5
401760392,-2.5,28.5
401752742,-4.5,27.5
401762489,6.5,23.5
401761632,0.5,33.5
401761629,-6.5,23.5
401752878,-14.5,26.5
401762491,-2.5,31.5
401761631,-1.5,23.5
401762843,-6.5,20.5
401760393,-7.5,30.5
401756923,3.5,25.5
401762487,13.5,31.5
401752741,-5.5,25.5
401761668,2.5,27.5
401752739,4.5,28.5
401752876,10.5,31.5
401752951,-9.5,28.5
401752879,-2.5,26.5
401761630,-3.5,29.5
401752743,6.5,22.5
401752875,-2.5,20.5
401760394,-0.5,26.5
401762490,-11.5,37.5
401752871,-6.5,30.5
401752738,-5.5,30.5
401754568,5.5,27.5
401756924,2.5,24.5
401756926,13.5,30.5
401760395,-7.5,24.5
401752941,-11.5,28.5
401754567,9.5,27.5
401757285,2.5,24.5
401757286,-3.5,24.5
401757287,-5.5,27.5
401757288,1.5,24.5
401761634,3.5,26.5
401762492,14.5,32.5
401754372,-3.5,25.5
401760397,11.5,27.5
401767101,3.5,31.5
401752750,-2.5,26.5
401754571,-10.5,26.5
401774214,6.5,24.5
401752883,-4.5,22.5
401752885,-15.5,28.5
401761635,-7.5,31.5
401762848,6.5,30.5
401752942,2.5,26.5
401752884,-1.5,30.5
401756932,-2.5,27.5
401762494,1.5,30.5
401762846,3.5,23.5
401752746,-0.5,27.5
401762844,-6.5,24.5
401757172,5.5,23.5
401760400,-1.5,30.5
401752880,-2.5,26.5
401761637,-7.5,24.5
401756931,-1.5,23.5
401752752,-2.5,24.5
401762493,-7.5,31.5
401752751,6.5,23.5
401762845,-3.5,20.5
401762874,-1.5,19.5
401760399,1.5,23.5
401762847,-9.5,23.5
401752952,0.5,22.5
401754574,-3.5,27.5
401762495,2.5,26.5
401752882,-3.5,19.5
401756933,-23.5,31.5
401756930,-2.5,34.5
401752749,4.5,23.5
401756935,9.5,28.5
401752886,-19.5,24.5
401761636,0.5,29.5
401761638,-4.5,23.5
401754572,-16.5,24.5
401752881,7.5,24.5
401752748,0.5,23.5
401754570,-14.5,28.5
401760398,-3.5,22.5
401752747,4.5,27.5
401756929,-3.5,23.5
401756934,-7.5,24.5
